<#beffbe>Forward_F / Punch^P / Kick^K / Both P^2P / Both K^2K / Block_B</>
<#beffbe>Air recover ^2P(When falling)</>

<#a6000a>Special Attack</>
Crawling Birth								_D_F^P
Black Trap									_D_B^P
Stampede									_D_F^K
Prey										_D_B^K
<#5c5640>Super Attack</>
<#beffbe>(Requires 1 energy bar)</>	
Super Crawling Birth						_D_F^2P
Super Black Trap (Alternative Fatal)							_D_B^2P
Arachnid Requiem							_D_F^2K
<#485178>Fatal Move</>
<#beffbe>(Requires 3 energy bars - Enemy must have a 1/3 life or less)</>		
Agony Kiss									_D_B^2K
<#6f3460>Killer Mode</>
<#beffbe>(Requires 2 energy bars - Can be cancelled at anytime)</>
Legion		_D_F^P+^K

