<#beffbe>Forward_F / Punch^P / Kick^K / Both P^2P / Both K^2K / Block_B</>
<#beffbe>Air recover ^2P(When falling) / Executable in ground or air(_AIR)</>

<#a6000a>Special Attack</>
Bloody End									_D_F^P
Okiku's Cry									_D_B^P
Kwaidan										_D_F^K
Snow Woman									(_AIR)_F_D_F^K
<#5c5640>Super Attack</>
<#beffbe>(Requires 1 energy bar)</>	
Ritual Mask									_D_F^2P
Soul Punishment (Alternative Fatal)								_D_F^2K
Obon										(_AIR)_F_D_F^2K
<#485178>Fatal Move</>
<#beffbe>(Requires 3 energy bars - Enemy must have a 1/3 life or less)</>	
Onryo										_D_B^2P
<#6f3460>Killer Mode</>
<#beffbe>(Requires 2 energy bars - Can be cancelled at anytime)</>
Possession									_D_F^P+^K
