<#f0f000>:Throws:</>
Bite								[_B/_F]_+^LP
Headbutt							[_B/_F]_+^MP

<#f0f000>:Command Normals:</>
Golf Club							_B^MP
Flurry Kick							_AIR_U^LK
Body Slam							_AIR_D^LK
Dive								_AIR_DF^MK
Belly Slide							(during start of run)_DF^MK

<#f0f000>:Special Moves:</>
Shoulder Bash							(air also)_QDF^P
Rising Uppercut							(air also)_DSF^P
Suplex								(air also)_QDB^P
_!Long Jump							_U
_!Belly Slide							_D
_!Dive								_AIR_D
Super Jump							_DSF^K
_!Cancel into Shoulder Bash					_QDF^P

<#f0f000>:Super Moves:</>
Shotgun <#bebebe>(1000)</>					_QDF^2P
Mort The Chicken <#bebebe>(1000)</>				_QDB^2K
Super Taunt <#bebebe>(1000)</>					(air also)_DSF^2K
Breaking Point <#bebebe>(3000)</>				_HCB^2P
